id,name,road_type
516589801,Gang Darussalam,living_street
432785210,Gang Mejing,living_street
517171026,Gang L,living_street
155957615,Gang Umi,living_street
516585318,Gang Dahlia IV,living_street
155962825,Jalan Margo Mulyo,living_street
516585289,Jalan Perdatam IV,living_street
482406885,Gang Urunsari,living_street
498731046,Jalan Angkasa Kecil,living_street
483409647,Gang Sukun V,living_street
516619186,Jalan Jaya VI,living_street
29093314,Jalan Tebet Dalam III A,living_street
528285566,Gang Gotong Royong,living_street
494141068,Gang Pori 2,living_street
523580996,Jalan Sunter Muara Barat 3,living_street
435993156,Gang Kebon Sirih Barat Dalam I No 10,living_street
522414593,Jalan KH. Abdullah,living_street
435993157,Gang Kebon Sirih Barat Dalam I No 09,living_street
523573398,Jalan Kumala,living_street
435993159,Gang Kebon Sirih Barat Dalam I No 08,living_street
523546078,Jalan Lurus Gang 3,living_street
435993163,Gang Kebon Sirih Timur 03,living_street
521750006,Gang Gotong Royong III,living_street
29093317,Jalan Tebet Dalam,living_street
521840729,Jalan H. Salihun,living_street
483897214,Jalan Kayu Manis Timur Gg. M,living_street
522414622,Jalan Jamlang,living_street
447197398,Gang H. Saian,living_street
499215923,Gang Damai,living_street
494141048,Gang H. Moh. Amin,living_street
522376569,Jalan Puakesmas A,living_street
447197648,Gang H. Biyul,living_street
517603706,Gang At Taubah,living_street
447489935,Jalan Otista V,living_street
499215941,Gang Angsa,living_street
447489937,Jalan Otista V,living_street
495401424,Gang P,living_street
452220282,Jalan Penggalangan Gang I,living_street
522390196,Gang H. Muhammad,living_street
452223800,Jalan Penggalang Gang III,living_street
502572300,Jalan H. Nuh,living_street
452226351,Jalan Penggalang GG IV,living_street
517266349,Gang Musholla,living_street
156830068,Jalan Poncol Jaya XI,living_street
522390203,Gang Namin,living_street
494141028,Gang Langgar 2,living_street
521856668,Gang Damai V,living_street
484562574,Gang R,living_street
496829839,Gang Masjid Al Barokah,living_street
454014925,Jalan Penegak Gang I,living_street
521758838,Gang H. Sa'alih,living_street
455059719,Gang Baung II,living_street
521707219,Gang Niaga III,living_street
484650683,Gang Staf III,living_street
521707211,Gang Kamboja II,living_street
29257896,Gang Swadaya,living_street
521707200,Gang Gotong Royong,living_street
460492151,Jalan DD,living_street
520222643,Gang Bahti 1,living_street
156830078,Jalan Poncol,living_street
521454888,Jalan Masjid,living_street
494141017,Gang Asoka 3,living_street
517499919,Gang Masdar,living_street
484661422,Gang Mawar,living_street
517295710,Gang Waru I,living_street
461071438,Gang M,living_street
496574678,Gang Haji Tabar,living_street
484847713,Gang XX,living_street
521153106,Gang H.Yakub Utay,living_street
471672715,Gang Kreatif,living_street
521707215,Gang Keranti,living_street
471672719,Gang Cempaka,living_street
521153139,Jalan Pulo Indah Buntu I,living_street
471675340,Gang Prumpung Tengah I,living_street
517499924,Gang Mina,living_street
471675349,Jalan E1,living_street
521153102,Gang Majlis,living_street
471675351,Gang Al Ikhlas,living_street
521153157,Gang Musholah,living_street
471675352,Gang Mawar,living_street
521149158,Gang H. Husein,living_street
471675354,Gang A,living_street
520604715,Jalan Pademangan I Gang 9,living_street
471675355,Gang B,living_street
496587203,Jalan Teratai,living_street
471675357,Gang Melati,living_street
517638408,Gang Akur,living_street
471675358,Gang Kattalia,living_street
520229445,Gang Nurul Baqo I,living_street
471675360,Gang Islah I,living_street
520229440,Gang Istiqomah I,living_street
471675361,Gang Cempaka,living_street
520229465,Gang Assidiqiyah V,living_street
471675363,Gang Padi,living_street
496829795,Jalan Istiqomah,living_street
471675366,Gang Guru,living_street
520201794,Gang Rukun,living_street
471675369,Gang Rosalia,living_street
513554799,Gang Musholla,living_street
471675370,Gang Soka,living_street
520201876,Gang Ilyas,living_street
33726038,Jalan Terate I,living_street
520222636,Gang Mawar 3,living_street
33726041,Jalan Seroja IV,living_street
519834757,Gang Naiming Alisan,living_street
157108395,Jalan Swadaya XI,living_street
520201800,Gang Masjid,living_street
157108397,Jalan Swadaya XII,living_street
518511826,Gang Tarim,living_street
475933468,Jalan Ketumbar I,living_street
518511819,Gang Ismail II,living_street
475997516,Gang Batur II,living_street
520222637,Gang Mawar 2,living_street
476947567,Jalan Sumbawa II,living_street
519834761,Gang KD H. Neran,living_street
476947568,Jalan Sumbawa I,living_street
517607439,Gang Hali,living_street
478017136,Gang Teratai,living_street
519874111,Jalan Pademangan IV Gang 36,living_street
478181548,Jalan Mawar Sari I,living_street
519876508,Gang Ilanjimah III,living_street
478187388,Gang Cempaka,living_street
496584777,Jalan Kebon Kosong Gang X,living_street
479492574,Jl. Kramat VII,living_street
517923825,Jalan H. Nawar II,living_street
485294320,Jalan Gugus Depan Gang IA,living_street
519834743,Gang Kenanga II,living_street
485294321,Jalan Gugus Depan Gg III,living_street
519834751,Gang Nilan,living_street
485294322,Jalan Gugus Depan Gg IV,living_street
499215915,Gang Tanjung,living_street
481502124,Jalan Blok 3E - 3F,living_street
517959139,Gang Swamas,living_street
481674327,Jalan Anyer V,living_street
519614739,Gang H Konjon II,living_street
481728123,Gang Kebon Sirih Barat Dalam I No 03,living_street
519894168,Gang 1 blok C,living_street
485778793,Jalan Gang Kamboja,living_street
495401419,Gang Amsir,living_street
481728124,Gang Kebon Sirih Barat Dalam I No 03,living_street
517958574,Gang H. Akun,living_street
481975577,Gang Kopra 1,living_street
519224903,Jalan Setia Warga IX,living_street
481975581,Gang Kopra 2,living_street
519224979,Gang Setia Jaya VI,living_street
482155221,Gang L,living_street
521771808,Gang Soleha,living_street
482155222,Jalan Johar Baru IV A,living_street
518499856,Gg. KAMPUNG BARU,living_street
482171381,Jalan Poncol Gang III,living_street
496584800,Jalan Kebon Kosong Gang 12,living_street
482186151,Jalan B/RT.04,living_street
518480411,Jalan Kramat Jaya Gang 8 Blok R,living_street
485821302,Jalan Kemuning Dalam 4,living_street
496584781,Jalan Kebon Kosong Gang 13,living_street
485821451,Jalan Kemuning Dalam 3,living_street
528379885,Jalan Sky IX,living_street
482188664,Jalan Johar Baru Gang VI,living_street
521757577,Gang Belimbing,living_street
482188698,Jalan Johar Baru Utara VI,living_street
520222627,Gang Pesanggrahan 9,living_street
482194759,Gang Sadar,living_street
496584799,Jalan Kebon Kosong Gang XI,living_street
482202683,Jalan Johar Baru Utara VI,living_street
499215914,Gang Tanjung,living_street
482202692,Jalan Johar Baru Utara VI,living_street
506322263,Jalan Delima II Gang 2,living_street
482208509,Jalan Menteng Tenggulun,living_street
518479583,Jalan Mawar V,living_street
482217928,Gang H. Sairi,living_street
496584795,Gang Ketapang Baru I,living_street
482366117,Jalan Mojokerto IV,living_street
518479584,Jalan Mawar V,living_street
482401123,Jalan Menteng Tenggulun,living_street
496584794,Jalan Kebon Kosong Gang 24,living_street
485826731,Gang At Taqwa,living_street
499250269,Gang Khoirul Huda 2,living_street
482412494,Jalan Bangka II Gang III,living_street
552522771,Gang Amsar,living_street
482412496,Jalan Bangka II Gang III,living_street
500055580,Gang Barokah,living_street
485868994,Jalan Cempaka V,living_street
517958853,Jalan Lebak Wangi III,living_street
483340046,Gang Gading V,living_street
521707209,Gang H. Zaini,living_street
483348664,Gang Gading VI,living_street
519230159,Jalan Jelambar Gang R,living_street
485994919,Jalan Jatinegara Timur I,living_street
519201025,Jalan Rambutan I,living_street
483387130,Jalan Cikoko Barat I Gang III,living_street
519614840,Gang Taba,living_street
483396460,Jalan Penegak Gang VII,living_street
500383144,Gang H. Saari,living_street
483587353,Gang Kebon Sirih Barat Dalam I No 06,living_street
495125306,Gang H. Sha'bah,living_street
483596528,Gang Amanda I,living_street
518499876,GANG PANDAWA LIMA KAMPUNG BULAK BUGIS,living_street
483596903,Gang Amanda II,living_street
518511958,Jalan Praja Dalam H,living_street
483596904,Gang Damai,living_street
518508400,Gang Delima,living_street
486026586,Gg. Jeruk I,living_street
518276318,Jalan Rukun I,living_street
157365986,Gang Kokar,living_street
519230251,Jalan Jelambar Utara I,living_street
486037612,Gang Manggis VII,living_street
496002767,Gang Cempaka,living_street
486259118,Gang Akik Yaman,living_street
519262401,Gang H. Antasari,living_street
484157115,Gang Makam,living_street
499215894,Gang Cendana,living_street
484159994,Gang Pelita VI,living_street
500361650,Gang Sepakat,living_street
484159995,Gang Pelita V,living_street
519876516,Gang Delima,living_street
484160495,Gang Pelita III,living_street
519614737,Gang H Murtani,living_street
484160496,Gang Pelita IV,living_street
494976348,Gang Sodong Timur 2,living_street
484160497,Gang Pelita VII,living_street
